sample,feature,perm_median,perm_p5,perm_p95,gini_median,gini_p5,gini_p95,auc_median,auc_p5,auc_p95,n_input,leaf,n_repeats
comparison:main,log_mass,0.1934281317132972,0.18600997709880868,0.20219528032910838,0.6623141488837887,0.6465937949591248,0.6752919000689742,0.8867745720619935,0.8832075613114744,0.8907050033386269,83761,150,200
comparison:main,bulge_prominence,0.03477740612711858,0.03091765849233908,0.043055627268995256,0.16371443317577453,0.14448917565297198,0.1827362012022557,0.8867745720619935,0.8832075613114744,0.8907050033386269,83761,150,200
comparison:main,bar_strength,0.009134137242778572,0.007677921579746161,0.010846681175912018,0.029905149833210798,0.023645201397067092,0.03695858973337827,0.8867745720619935,0.8832075613114744,0.8907050033386269,83761,150,200
comparison:main,spiral,0.051783391341513024,0.045017880993779326,0.05695835186172399,0.14489962703419068,0.12304987193629863,0.15762635434453412,0.8867745720619935,0.8832075613114744,0.8907050033386269,83761,150,200
comparison:main,random_control,2.725758183730331e-06,-0.00013050082214823065,9.843382938180866e-05,0.0014873181646308164,0.001024773976871157,0.002147986751721738,0.8867745720619935,0.8832075613114744,0.8907050033386269,83761,150,200
comparison:sigma,log_mass,0.03528313024335944,0.027613982253278258,0.045892106076623904,0.09045094631780942,0.07314240060033877,0.10619973746029841,0.8654187679796157,0.8610446990400661,0.8698774732129713,48701,100,200
comparison:sigma,bulge_prominence,0.010823046874887443,0.008752375275471111,0.013740814713244506,0.04382515865221312,0.03544426023519409,0.05197688361711842,0.8654187679796157,0.8610446990400661,0.8698774732129713,48701,100,200
comparison:sigma,bar_strength,0.013029672745905852,0.011458219519050638,0.014468726091798478,0.049298785849911764,0.04142017577202928,0.05600226404012655,0.8654187679796157,0.8610446990400661,0.8698774732129713,48701,100,200
comparison:sigma,spiral,0.08453864679303241,0.07689092249611047,0.0916098593954077,0.23060080278842227,0.21750036705383005,0.2448259409355563,0.8654187679796157,0.8610446990400661,0.8698774732129713,48701,100,200
comparison:sigma,sigma_c,0.09620585634322423,0.08167957135376487,0.11576282425487065,0.5826013553855802,0.5602336015541503,0.6096331131221882,0.8654187679796157,0.8610446990400661,0.8698774732129713,48701,100,200
comparison:sigma,random_control,-2.1042338288923547e-06,-0.00012560715488474706,0.00011211833183549235,0.003436485618273214,0.0027182037024277707,0.00467205684991237,0.8654187679796157,0.8610446990400661,0.8698774732129713,48701,100,200
