mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,sample,scheme,barmode
0,0,9.500033378601074,10.029934883117676,0.3829151653165051,1.2574362712275244,352,3889,1,75,True,0.002840909090909091,0.0005016663636475691,0.01591423649391573,0.019285163281049112,0.01541342770863824,0.02410563836380828,-0.01644425419014002,-0.021802335615477633,-0.002809657543048622,all,comparison,strong_only
0,1,9.500033378601074,10.029934883117676,1.2574362712275244,1.4081669343294456,200,2460,4,39,True,0.02,0.0078044264163494685,0.050287086905826436,0.015853658536585366,0.011618928024642072,0.021598087026264305,0.004146341463414634,-0.00933440308973486,0.034728044747402376,all,comparison,strong_only
0,2,9.500033378601074,10.029934883117676,1.4081669343294456,1.567936572450753,180,1609,8,18,True,0.044444444444444446,0.02269009345317688,0.08523691576429278,0.011187072715972654,0.007087987676297077,0.017614662793654326,0.03325737172847179,0.010573331055391166,0.07425527673035134,all,comparison,strong_only
0,3,9.500033378601074,10.029934883117676,1.567936572450753,1.775981109566201,116,900,15,7,True,0.12931034482758622,0.07995391352718764,0.20243132405013073,0.0077777777777777776,0.003772571890802391,0.01596701700122867,0.12153256704980844,0.07150136728636214,0.19476315681024153,all,comparison,strong_only
0,4,9.500033378601074,10.029934883117676,1.775981109566201,3.245336315750976,71,549,14,11,True,0.19718309859154928,0.12125532301202226,0.30419681705088314,0.020036429872495445,0.011224160327876539,0.035518822508140147,0.17714666871905382,0.09965646555646503,0.2845226065869979,all,comparison,strong_only
1,0,10.029934883117676,10.333564758300781,0.3829151653165051,1.2574362712275244,120,3905,7,84,True,0.058333333333333334,0.028541010000220295,0.11552592033630113,0.021510883482714467,0.01740876672585194,0.026553481585068053,0.03682244985061887,0.006606389134393601,0.09416195952744619,all,comparison,strong_only
1,1,10.029934883117676,10.333564758300781,1.2574362712275244,1.4081669343294456,196,2758,7,42,True,0.03571428571428571,0.017405752121094076,0.07187231323121207,0.015228426395939087,0.011286056269881344,0.0205193388371218,0.020485859318346625,0.0014281533495452206,0.05685817346146428,all,comparison,strong_only
1,2,10.029934883117676,10.333564758300781,1.4081669343294456,1.567936572450753,234,1882,16,44,True,0.06837606837606838,0.04252280667717907,0.10817194182633809,0.023379383634431455,0.017461646925285124,0.031238872617925538,0.04499668474163693,0.017975161698830445,0.0852301428508855,all,comparison,strong_only
1,3,10.029934883117676,10.333564758300781,1.567936572450753,1.775981109566201,216,1243,33,30,True,0.1527777777777778,0.11090176542671284,0.2067883517847902,0.02413515687851971,0.01695754250576142,0.03424500483420079,0.12864262089925807,0.08556351417553952,0.1831280341091346,all,comparison,strong_only
1,4,10.029934883117676,10.333564758300781,1.775981109566201,3.245336315750976,227,877,50,84,True,0.22026431718061673,0.1712561551712671,0.2785827054527808,0.09578107183580388,0.07802952203631955,0.11705831936792405,0.12448324534481285,0.07105552589060282,0.18544349412175318,all,comparison,strong_only
2,0,10.333564758300781,10.544611930847168,0.3829151653165051,1.2574362712275244,110,2528,9,60,True,0.08181818181818182,0.04364064627865515,0.1482179177889003,0.023734177215189875,0.018483657643608667,0.0304299338410565,0.05808400460299194,0.019323749486898363,0.12469100793411834,all,comparison,strong_only
2,1,10.333564758300781,10.544611930847168,1.2574362712275244,1.4081669343294456,228,2484,19,38,True,0.08333333333333333,0.05399668226505485,0.12647776364953134,0.015297906602254429,0.011165740161495706,0.020926923355150243,0.0680354267310789,0.03816361852490721,0.11137728486848919,all,comparison,strong_only
2,2,10.333564758300781,10.544611930847168,1.4081669343294456,1.567936572450753,344,2006,34,57,True,0.09883720930232558,0.07159304560053914,0.13494202087561394,0.028414755732801594,0.02199633696080916,0.036635879179184004,0.07042245356952398,0.041964918073097095,0.10709333463714113,all,comparison,strong_only
2,3,10.333564758300781,10.544611930847168,1.567936572450753,1.775981109566201,453,1419,75,88,True,0.16556291390728478,0.13417582871934247,0.2025743848401398,0.06201550387596899,0.05061040550429997,0.07578558732103818,0.10354741003131579,0.0692725750254501,0.14227627845631652,all,comparison,strong_only
2,4,10.333564758300781,10.544611930847168,1.775981109566201,3.245336315750976,505,1304,148,255,True,0.29306930693069305,0.25505213361240414,0.3342108944349084,0.1955521472392638,0.1749321344959915,0.2179606395899707,0.09751715969142924,0.05338728322950713,0.14353688533054754,all,comparison,strong_only
