mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,sample,scheme,barmode
0,0,9.500033378601074,10.030103047688803,0.3829151653165051,1.2574031013558358,2904,3897,28,75,True,0.009641873278236915,0.0066793508602418184,0.013899989405772365,0.01924557351809084,0.015381730827929315,0.024056287980249478,-0.009603700239853925,-0.015253435872035823,-0.0038538451729942264,all,conventional,all
0,1,9.500033378601074,10.030103047688803,1.2574031013558358,1.4080759317986264,1616,2464,15,39,True,0.009282178217821782,0.005633155289770656,0.015258678683494842,0.015827922077922076,0.011600031943839708,0.02156314331937337,-0.0065457438601002945,-0.013343400148692484,0.0007750220016153591,all,conventional,all
0,2,9.500033378601074,10.030103047688803,1.4080759317986264,1.5679604806243066,1052,1613,23,18,True,0.021863117870722433,0.014612084221781771,0.0325933540609352,0.011159330440173589,0.007070382402359467,0.017571154715172163,0.010703787430548844,0.0010244806624207289,0.022186707997795478,all,conventional,all
0,3,9.500033378601074,10.030103047688803,1.5679604806243066,1.7760225903165756,630,901,29,7,True,0.046031746031746035,0.032238949574580386,0.06532718145091997,0.00776914539400666,0.0037683792972715412,0.015949394072604123,0.038262600637739376,0.022226463242702603,0.05796843625504566,all,conventional,all
0,4,9.500033378601074,10.030103047688803,1.7760225903165756,3.245336315750976,282,549,26,11,True,0.09219858156028368,0.06369579041844536,0.13166236039383056,0.020036429872495445,0.011224160327876539,0.035518822508140147,0.07216215168778824,0.039725851272982574,0.11259785292258964,all,conventional,all
1,0,10.030103047688803,10.333945910135904,0.3829151653165051,1.2574031013558358,1361,3912,35,84,True,0.025716385011021307,0.018548266662509878,0.03555432404022099,0.02147239263803681,0.017377557895544224,0.026506103030924023,0.004243992372984496,-0.0045150121924742385,0.014900104042377548,all,conventional,all
1,1,10.030103047688803,10.333945910135904,1.2574031013558358,1.4080759317986264,1246,2761,18,42,True,0.014446227929373997,0.009157228992090516,0.02271998114485526,0.015211879753712423,0.011273772434534018,0.020497112127563704,-0.0007656518243384265,-0.00824276296462459,0.008397518016281852,all,conventional,all
1,2,10.030103047688803,10.333945910135904,1.4080759317986264,1.5679604806243066,1136,1887,40,44,True,0.035211267605633804,0.02596365875572088,0.04759170999480555,0.023317435082140965,0.017415259516435883,0.031156480008450074,0.01189383252349284,-0.0002292403047005325,0.02560918998000876,all,conventional,all
1,3,10.030103047688803,10.333945910135904,1.5679604806243066,1.7760225903165756,846,1245,72,30,True,0.0851063829787234,0.06812773592190186,0.1058358396205886,0.024096385542168676,0.016930219280465893,0.03419032798338047,0.061009997436554726,0.041257475321983844,0.08294317576431508,all,conventional,all
1,4,10.030103047688803,10.333945910135904,1.7760225903165756,3.245336315750976,635,879,105,84,True,0.16535433070866143,0.13848859439797234,0.1962446259779359,0.09556313993174062,0.07785043610172322,0.11679545088487252,0.06979119077692081,0.03554825258631043,0.10539947940180244,all,conventional,all
2,0,10.333945910135904,10.545207977294922,0.3829151653165051,1.2574031013558358,867,2531,29,60,True,0.03344867358708189,0.023388592479984094,0.04762486030675013,0.023706045041485577,0.018461697552206075,0.03039400440491354,0.009742628545596311,-0.0023376873578993315,0.02485776832328975,all,conventional,all
2,1,10.333945910135904,10.545207977294922,1.2574031013558358,1.4080759317986264,1206,2485,40,38,True,0.03316749585406302,0.024450908245102803,0.04484863361587747,0.015291750503018108,0.011161238972780017,0.020918529924402362,0.017875745351044914,0.007500797341459897,0.03026566483875416,all,conventional,all
2,2,10.333945910135904,10.545207977294922,1.4080759317986264,1.5679604806243066,1371,2009,77,57,True,0.05616338439095551,0.045170317039414015,0.06963670875109912,0.028372324539571926,0.021963396077968638,0.0365814328276007,0.02779105985138358,0.014071111284420578,0.04271100734926667,all,conventional,all
2,3,10.333945910135904,10.545207977294922,1.5679604806243066,1.7760225903165756,1469,1425,161,88,True,0.10959836623553437,0.09463031341464424,0.1266029068136862,0.061754385964912284,0.05039615743580391,0.07546907254508406,0.04784398027062209,0.0275428661819495,0.06829303295267715,all,conventional,all
2,4,10.333945910135904,10.545207977294922,1.7760225903165756,3.245336315750976,1237,1307,285,257,True,0.23039611964430073,0.20778651160403355,0.2546750339394863,0.1966335118592196,0.17598832088093766,0.2190567513786574,0.03376260778508114,0.0019193032096983878,0.0656324930983781,all,conventional,all
3,0,10.545207977294922,10.732647577921549,0.3829151653165051,1.2574031013558358,568,1505,25,56,True,0.04401408450704225,0.029988005883670305,0.0641665154267137,0.037209302325581395,0.02876482267453101,0.04801028059658104,0.0068047821814608556,-0.010898099311663866,0.028654947136195954,all,conventional,all
3,1,10.545207977294922,10.732647577921549,1.2574031013558358,1.4080759317986264,1135,2088,66,59,True,0.05814977973568282,0.04596678709289778,0.07331360770530546,0.02825670498084291,0.02196935382002107,0.036276675441385776,0.029893074754839908,0.015307285920425278,0.04630869120113268,all,conventional,all
3,2,10.545207977294922,10.732647577921549,1.4080759317986264,1.5679604806243066,1554,1855,99,100,True,0.0637065637065637,0.05260691796886613,0.0769579088482932,0.05390835579514825,0.04452245561337356,0.06513803095120811,0.009798207911415453,-0.0059912740184331625,0.02603684302300892,all,conventional,all
3,3,10.545207977294922,10.732647577921549,1.5679604806243066,1.7760225903165756,1856,1543,284,137,True,0.15301724137931033,0.1373569448405667,0.1701109073834034,0.08878807517822424,0.07559790303516868,0.10402067211765877,0.0642291662010861,0.04238249832699931,0.08582023052461878,all,conventional,all
3,4,10.545207977294922,10.732647577921549,1.7760225903165756,3.245336315750976,2009,1795,589,532,True,0.2931806869089099,0.27368466687939924,0.31346612616573427,0.29637883008356547,0.27570616365837713,0.31792116997043657,-0.0031981431746555544,-0.03225269883796865,0.025764905403997552,all,conventional,all
4,0,10.732647577921549,10.933696111043295,0.3829151653165051,1.2574031013558358,340,702,30,41,True,0.08823529411764706,0.06250471463945956,0.12316649278170855,0.0584045584045584,0.04334159486549158,0.07827418407177335,0.02983073571308866,-0.002678720517961572,0.06787126029789672,all,conventional,all
4,1,10.732647577921549,10.933696111043295,1.2574031013558358,1.4080759317986264,909,1426,97,91,True,0.10671067106710672,0.088268870323477,0.12846258606357933,0.0638148667601683,0.05226354807556502,0.07770992393018628,0.042895804306938415,0.019805273164805504,0.06752462420085609,all,conventional,all
4,2,10.732647577921549,10.933696111043295,1.4080759317986264,1.5679604806243066,1574,1585,237,149,True,0.150571791613723,0.13375581005837386,0.16908922937787033,0.09400630914826498,0.08060447533738266,0.10937134455639938,0.05656548246545802,0.03378694983574137,0.07942384309879255,all,conventional,all
4,3,10.732647577921549,10.933696111043295,1.5679604806243066,1.7760225903165756,2603,1513,716,306,True,0.27506723011909334,0.2582535835672142,0.29254380150669546,0.20224719101123595,0.1827731474775148,0.2232293752248217,0.07282003910785739,0.0459322953433768,0.09898621802299934,all,conventional,all
4,4,10.732647577921549,10.933696111043295,1.7760225903165756,3.245336315750976,2835,2421,1063,909,True,0.37495590828924164,0.3573159914689319,0.39293423902666924,0.3754646840148699,0.3563870705079445,0.3949368777829819,-0.000508775725628241,-0.026782964496556035,0.02570526084304916,all,conventional,all
5,0,10.933696111043295,12.37898349761963,0.3829151653165051,1.2574031013558358,161,342,38,57,True,0.2360248447204969,0.17706164387771578,0.3072913786682777,0.16666666666666666,0.13091761288523568,0.2098207682866715,0.06935817805383024,-0.003709841901933228,0.14908843396209784,all,conventional,all
