mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,sample,scheme,barmode
0,0,9.500033378601074,10.030103047688803,0.3829151653165051,1.2574031013558358,353,3897,1,75,True,0.0028328611898017,0.0005002447145244174,0.015869654792105906,0.01924557351809084,0.015381730827929315,0.024056287980249478,-0.01641271232828914,-0.021759119837744183,-0.002815386570501524,all,conventional,strong_only
0,1,9.500033378601074,10.030103047688803,1.2574031013558358,1.4080759317986264,199,2464,4,39,True,0.020100502512562814,0.007843781102347624,0.05053412097713616,0.015827922077922076,0.011600031943839708,0.02156314331937337,0.004272580434640738,-0.009259602774879505,0.034998468344237275,all,conventional,strong_only
0,2,9.500033378601074,10.030103047688803,1.4080759317986264,1.5679604806243066,182,1613,8,18,True,0.04395604395604396,0.022438882831412616,0.08432663088443597,0.011159330440173589,0.007070382402359467,0.017571154715172163,0.03279671351587037,0.010344548511203065,0.0733738472859976,all,conventional,strong_only
0,3,9.500033378601074,10.030103047688803,1.5679604806243066,1.7760225903165756,116,901,15,7,True,0.12931034482758622,0.07995391352718764,0.20243132405013073,0.00776914539400666,0.0037683792972715412,0.015949394072604123,0.12154119943357955,0.07151147048013967,0.1947715465024319,all,conventional,strong_only
0,4,9.500033378601074,10.030103047688803,1.7760225903165756,3.245336315750976,74,549,16,11,True,0.21621621621621623,0.13770451655905025,0.3227372501253851,0.020036429872495445,0.011224160327876539,0.035518822508140147,0.1961797863437208,0.11615609319737007,0.3030647093198138,all,conventional,strong_only
1,0,10.030103047688803,10.333945910135904,0.3829151653165051,1.2574031013558358,121,3912,7,84,True,0.05785123966942149,0.02830275348227581,0.11461017776053556,0.02147239263803681,0.017377557895544224,0.026506103030924023,0.03637884703138468,0.006404670207468401,0.09328530294632673,all,conventional,strong_only
1,1,10.030103047688803,10.333945910135904,1.2574031013558358,1.4080759317986264,197,2761,7,42,True,0.03553299492385787,0.017316858093337738,0.07151668715900233,0.015211879753712423,0.011273772434534018,0.020497112127563704,0.020321115170145447,0.0013537399623356518,0.05651966204886646,all,conventional,strong_only
1,2,10.030103047688803,10.333945910135904,1.4080759317986264,1.5679604806243066,235,1887,16,44,True,0.06808510638297872,0.0423399738195075,0.10772383418796849,0.023317435082140965,0.017415259516435883,0.031156480008450074,0.04476767130083776,0.017855546225559907,0.08484340483631375,all,conventional,strong_only
1,3,10.030103047688803,10.333945910135904,1.5679604806243066,1.7760225903165756,217,1245,33,30,True,0.15207373271889402,0.11038041929626369,0.2058711540887858,0.024096385542168676,0.016930219280465893,0.03419032798338047,0.12797734717672535,0.08507956100815736,0.18224995983670383,all,conventional,strong_only
1,4,10.030103047688803,10.333945910135904,1.7760225903165756,3.245336315750976,230,879,51,84,True,0.2217391304347826,0.17287037810501885,0.2797502108806651,0.09556313993174062,0.07785043610172322,0.11679545088487252,0.12617599050304198,0.07289404250300846,0.18683096005598598,all,conventional,strong_only
2,0,10.333945910135904,10.545207977294922,0.3829151653165051,1.2574031013558358,112,2531,10,60,True,0.08928571428571429,0.04922153008054796,0.1565895764387274,0.023706045041485577,0.018461697552206075,0.03039400440491354,0.06557966924422871,0.02496110628992957,0.1330875431649804,all,conventional,strong_only
2,1,10.333945910135904,10.545207977294922,1.2574031013558358,1.4080759317986264,230,2485,19,38,True,0.08260869565217391,0.053521402143753276,0.1254094813347726,0.015291750503018108,0.011161238972780017,0.020918529924402362,0.0673169451491558,0.03769041497260758,0.11031657747955106,all,conventional,strong_only
2,2,10.333945910135904,10.545207977294922,1.4080759317986264,1.5679604806243066,343,2009,34,57,True,0.09912536443148688,0.0718043846640596,0.13532615579948354,0.028372324539571926,0.021963396077968638,0.0365814328276007,0.07075303989191495,0.0422254147833162,0.10751676739192736,all,conventional,strong_only
