mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,sample,scheme,barmode
0,0,9.500033378601074,10.030103047688803,0.3829151653165051,1.2574031013558358,2551,3897,27,75,True,0.010584084672677381,0.007284215523825113,0.01535572505682976,0.01924557351809084,0.015381730827929315,0.024056287980249478,-0.008661488845413458,-0.014495193503344751,-0.0025216327974276016,all,conventional,weak_only
0,1,9.500033378601074,10.030103047688803,1.2574031013558358,1.4080759317986264,1417,2464,11,39,True,0.0077628793225123505,0.004340158616768442,0.013847274372512906,0.015827922077922076,0.011600031943839708,0.02156314331937337,-0.008065042755409726,-0.014743948333266192,-0.0006559322750388005,all,conventional,weak_only
0,2,9.500033378601074,10.030103047688803,1.4080759317986264,1.5679604806243066,870,1613,15,18,True,0.017241379310344827,0.01047591470453514,0.02825131490799134,0.011159330440173589,0.007070382402359467,0.017571154715172163,0.0060820488701712385,-0.0032390563146190623,0.017826757377421128,all,conventional,weak_only
0,3,9.500033378601074,10.030103047688803,1.5679604806243066,1.7760225903165756,514,901,14,7,True,0.027237354085603113,0.016292814245503585,0.04519600299444519,0.00776914539400666,0.0037683792972715412,0.015949394072604123,0.019468208691596454,0.005804409045991965,0.03786709996231817,all,conventional,weak_only
0,4,9.500033378601074,10.030103047688803,1.7760225903165756,3.245336315750976,208,549,10,11,True,0.04807692307692308,0.026321071341319995,0.08622280441094202,0.020036429872495445,0.011224160327876539,0.035518822508140147,0.028040493204427634,0.0013380295265980335,0.06719102777646219,all,conventional,weak_only
1,0,10.030103047688803,10.333945910135904,0.3829151653165051,1.2574031013558358,1240,3912,28,84,True,0.02258064516129032,0.01566838490739331,0.03244181305741063,0.02147239263803681,0.017377557895544224,0.026506103030924023,0.0011082525232535105,-0.007442629427578526,0.01178581328607749,all,conventional,weak_only
1,1,10.030103047688803,10.333945910135904,1.2574031013558358,1.4080759317986264,1049,2761,11,42,True,0.010486177311725452,0.005865272162358717,0.01867921989216162,0.015211879753712423,0.011273772434534018,0.020497112127563704,-0.004725702441986971,-0.011746133030280659,0.004364657065876656,all,conventional,weak_only
1,2,10.030103047688803,10.333945910135904,1.4080759317986264,1.5679604806243066,901,1887,24,44,True,0.026637069922308545,0.017964353956350414,0.03932906282437555,0.023317435082140965,0.017415259516435883,0.031156480008450074,0.0033196348401675797,-0.00837081543272087,0.017316861716750148,all,conventional,weak_only
1,3,10.030103047688803,10.333945910135904,1.5679604806243066,1.7760225903165756,629,1245,39,30,True,0.06200317965023847,0.045685521900513136,0.08363827267705207,0.024096385542168676,0.016930219280465893,0.03419032798338047,0.0379067941080698,0.018719464214526298,0.06069782719499338,all,conventional,weak_only
1,4,10.030103047688803,10.333945910135904,1.7760225903165756,3.245336315750976,405,879,54,84,True,0.13333333333333333,0.10364809655146365,0.16990894226573836,0.09556313993174062,0.07785043610172322,0.11679545088487252,0.03777019340159271,0.0012732851598504583,0.0784090300698112,all,conventional,weak_only
2,0,10.333945910135904,10.545207977294922,0.3829151653165051,1.2574031013558358,755,2531,19,60,True,0.025165562913907286,0.01616900283381243,0.038969601329591354,0.023706045041485577,0.018461697552206075,0.03039400440491354,0.0014595178724217082,-0.009750606735343368,0.016226191741983323,all,conventional,weak_only
2,1,10.333945910135904,10.545207977294922,1.2574031013558358,1.4080759317986264,976,2485,21,38,True,0.02151639344262295,0.014115497516346373,0.032669069933848514,0.015291750503018108,0.011161238972780017,0.020918529924402362,0.0062246429396048426,-0.003072340827644111,0.01811763744979298,all,conventional,weak_only
2,2,10.333945910135904,10.545207977294922,1.4080759317986264,1.5679604806243066,1028,2009,43,57,True,0.04182879377431906,0.031200800148644188,0.055868253001609296,0.028372324539571926,0.021963396077968638,0.0365814328276007,0.013456469234747137,2.7258260457975123e-05,0.028889575837783787,all,conventional,weak_only
2,3,10.333945910135904,10.545207977294922,1.5679604806243066,1.7760225903165756,1014,1425,85,88,True,0.08382642998027613,0.06829980903934904,0.10249443137419512,0.061754385964912284,0.05039615743580391,0.07546907254508406,0.022072044015363848,0.001355659537478248,0.043923900489421436,all,conventional,weak_only
2,4,10.333945910135904,10.545207977294922,1.7760225903165756,3.245336315750976,728,1307,132,257,True,0.1813186813186813,0.1550276154841981,0.21095528367035357,0.1966335118592196,0.17598832088093766,0.2190567513786574,-0.015314830540538282,-0.04986945126279781,0.020803753449990463,all,conventional,weak_only
3,0,10.545207977294922,10.732647577921549,0.3829151653165051,1.2574031013558358,483,1505,18,56,True,0.037267080745341616,0.023701124890627513,0.058135493784381244,0.037209302325581395,0.02876482267453101,0.04801028059658104,5.777841976022102e-05,-0.0172828181634793,0.0225699950886039,all,conventional,weak_only
3,1,10.545207977294922,10.732647577921549,1.2574031013558358,1.4080759317986264,856,2088,36,59,True,0.04205607476635514,0.03053088927495797,0.05767311396619026,0.02825670498084291,0.02196935382002107,0.036276675441385776,0.013799369785512227,-0.0002416354063923716,0.03063453233265369,all,conventional,weak_only
3,2,10.545207977294922,10.732647577921549,1.4080759317986264,1.5679604806243066,1103,1855,48,100,True,0.043517679057116954,0.03297877190922305,0.05722516653655235,0.05390835579514825,0.04452245561337356,0.06513803095120811,-0.010390676738031297,-0.02579113673059507,0.006222280109595687,all,conventional,weak_only
3,3,10.545207977294922,10.732647577921549,1.5679604806243066,1.7760225903165756,1220,1543,149,137,True,0.1221311475409836,0.10493409591142903,0.14170034897128606,0.08878807517822424,0.07559790303516868,0.10402067211765877,0.033343072362759366,0.010369814120428224,0.05694252756374209,all,conventional,weak_only
3,4,10.545207977294922,10.732647577921549,1.7760225903165756,3.245336315750976,1169,1795,292,532,True,0.24978614200171087,0.22581761280398305,0.27539374393964344,0.29637883008356547,0.27570616365837713,0.31792116997043657,-0.0465926880818546,-0.07881942852676788,-0.013682075596841238,all,conventional,weak_only
4,0,10.732647577921549,10.933696111043295,0.3829151653165051,1.2574031013558358,258,702,20,41,True,0.07751937984496124,0.050739726443891554,0.11669540402838491,0.0584045584045584,0.04334159486549158,0.07827418407177335,0.019114821440402836,-0.014231120748065464,0.061086880496392125,all,conventional,weak_only
4,1,10.732647577921549,10.933696111043295,1.2574031013558358,1.4080759317986264,648,1426,44,91,True,0.06790123456790123,0.050967666838332565,0.08992772663181109,0.0638148667601683,0.05226354807556502,0.07770992393018628,0.00408636780773293,-0.017818388064222302,0.028958024688502833,all,conventional,weak_only
4,2,10.732647577921549,10.933696111043295,1.4080759317986264,1.5679604806243066,1057,1585,120,149,True,0.11352885525070956,0.09578699151811228,0.13406965368857623,0.09400630914826498,0.08060447533738266,0.10937134455639938,0.019522546102444582,-0.003947819080041923,0.04404872701100787,all,conventional,weak_only
4,3,10.732647577921549,10.933696111043295,1.5679604806243066,1.7760225903165756,1567,1513,414,306,True,0.26419910657306955,0.24296455185744434,0.2865869532608363,0.20224719101123595,0.1827731474775148,0.2232293752248217,0.061951915561833604,0.03209963979693206,0.09162436154911638,all,conventional,weak_only
4,4,10.732647577921549,10.933696111043295,1.7760225903165756,3.245336315750976,1646,2421,598,909,True,0.36330498177399756,0.3404135759062669,0.3868329436946772,0.3754646840148699,0.3563870705079445,0.3949368777829819,-0.012159702240872317,-0.04221270197041803,0.018130895793180633,all,conventional,weak_only
5,0,10.933696111043295,12.37898349761963,0.3829151653165051,1.2574031013558358,108,342,26,57,True,0.24074074074074073,0.16991188997445456,0.3293793335978342,0.16666666666666666,0.13091761288523568,0.2098207682866715,0.07407407407407407,-0.008865678683590589,0.16965019551637384,all,conventional,weak_only
5,1,10.933696111043295,12.37898349761963,1.2574031013558358,1.4080759317986264,508,968,115,245,True,0.2263779527559055,0.1921189255690574,0.2647441416773422,0.253099173553719,0.2267221858171818,0.28142804212221767,-0.026721220797813527,-0.0711757564287305,0.01983745115928605,all,conventional,weak_only
