mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
0,0,9.500033378601074,9.757833003997803,0.3864016248867915,1.183200033387799,708,682,10,19,True,0.014124293785310734,0.007689817521148546,0.025802835267285846,0.02785923753665689,0.01790658778848671,0.04310089183025871,-0.013734943751346157,-0.030279142444535785,0.0016092267428827623,0.02,0.06,all,comparison,all
0,1,9.500033378601074,9.757833003997803,1.183200033387799,1.3036914768597134,443,586,3,8,True,0.006772009029345372,0.002305712531120602,0.019718785479130606,0.013651877133105802,0.006933496556547103,0.026705133831293658,-0.00687986810376043,-0.020676074641749087,0.007706277994924949,0.02,0.06,all,comparison,all
0,2,9.500033378601074,9.757833003997803,1.3036914768597134,1.4591103326268486,370,469,6,7,True,0.016216216216216217,0.007452683940310092,0.034922120798219936,0.014925373134328358,0.0072482491188174975,0.030484184211356652,0.0012908430818878592,-0.016566259148919543,0.021510860376157452,0.02,0.06,all,comparison,all
0,3,9.500033378601074,9.757833003997803,1.4591103326268486,1.7085361622827162,263,327,9,3,True,0.034220532319391636,0.01810610143740602,0.06374571768104151,0.009174311926605505,0.003124903596677168,0.026621848384693742,0.02504622039278613,0.0012956117457091042,0.055184765675894774,0.02,0.06,all,comparison,all
0,4,9.500033378601074,9.757833003997803,1.7085361622827162,3.245336315750976,87,137,8,1,True,0.09195402298850575,0.04733289225508674,0.17108564789471262,0.0072992700729927005,0.0012896645694117012,0.040185756585739155,0.08465475291551304,0.029224018633150113,0.16401424773878726,0.02,0.06,all,comparison,all
1,0,9.757833003997803,10.006921768188477,0.3864016248867915,1.183200033387799,451,799,4,23,True,0.008869179600886918,0.0034543024391996257,0.022579953214180076,0.028785982478097622,0.019256998291975344,0.042824323335219884,-0.019916802877210704,-0.034963261221183574,-0.003219891405494016,0.02,0.06,all,comparison,all
1,1,9.757833003997803,10.006921768188477,1.183200033387799,1.3036914768597134,341,725,5,19,True,0.01466275659824047,0.0062788872441731595,0.03385972853604606,0.02620689655172414,0.01684056727979836,0.040567608825325965,-0.011544139953483669,-0.02817301010004646,0.00981591284633471,0.02,0.06,all,comparison,all
1,2,9.757833003997803,10.006921768188477,1.3036914768597134,1.4591103326268486,328,515,12,13,True,0.036585365853658534,0.021050105405961656,0.0628497753372033,0.02524271844660194,0.014810276148928991,0.04270528725366139,0.011342647407056594,-0.012030106528221566,0.03960313320991554,0.02,0.06,all,comparison,all
1,3,9.757833003997803,10.006921768188477,1.4591103326268486,1.7085361622827162,282,323,17,5,True,0.06028368794326241,0.03797533739374198,0.09441084261253813,0.015479876160990712,0.006629731388861717,0.03571942122671137,0.0448038117822717,0.014682362801393869,0.08005984315717704,0.02,0.06,all,comparison,all
1,4,9.757833003997803,10.006921768188477,1.7085361622827162,3.245336315750976,135,172,19,7,True,0.14074074074074075,0.09198858446777546,0.20937283290777953,0.040697674418604654,0.01985149669558029,0.08161182680247542,0.1000430663221361,0.036397637526705495,0.1717712142201881,0.02,0.06,all,comparison,all
