mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
0,0,9.500033378601074,9.757833003997803,0.3864016248867915,1.183200033387799,128,682,1,19,True,0.0078125,0.0013804318928742412,0.04292625943886061,0.02785923753665689,0.01790658778848671,0.04310089183025871,-0.02004673753665689,-0.03658999978267038,0.01645026698343933,0.02,0.06,all,comparison,strong_only
0,1,9.500033378601074,9.757833003997803,1.183200033387799,1.3036914768597134,68,586,0,8,True,0.0,0.0,0.053471336520070537,0.013651877133105802,0.006933496556547103,0.026705133831293658,-0.013651877133105802,-0.026705133831293658,0.04023987053584728,0.02,0.06,all,comparison,strong_only
0,2,9.500033378601074,9.757833003997803,1.3036914768597134,1.4591103326268486,61,469,2,7,True,0.03278688524590164,0.009037890398362391,0.11189490419495614,0.014925373134328358,0.0072482491188174975,0.030484184211356652,0.01786151211157328,-0.010530235957172049,0.09734117551796612,0.02,0.06,all,comparison,strong_only
0,3,9.500033378601074,9.757833003997803,1.4591103326268486,1.7085361622827162,48,327,4,3,True,0.08333333333333333,0.032883756818091775,0.1955330179036728,0.009174311926605505,0.003124903596677168,0.026621848384693742,0.07415902140672782,0.020777598617301066,0.18652166893172112,0.02,0.06,all,comparison,strong_only
0,4,9.500033378601074,9.757833003997803,1.7085361622827162,3.245336315750976,19,137,1,1,False,,,,,,,,,,0.02,0.06,all,comparison,strong_only
1,0,9.757833003997803,10.006921768188477,0.3864016248867915,1.183200033387799,43,799,0,23,True,0.0,0.0,0.08200980322579117,0.028785982478097622,0.019256998291975344,0.042824323335219884,-0.028785982478097622,-0.042824323335219884,0.05377556647026184,0.02,0.06,all,comparison,strong_only
1,1,9.757833003997803,10.006921768188477,1.183200033387799,1.3036914768597134,45,725,0,19,True,0.0,0.0,0.07865159873288838,0.02620689655172414,0.01684056727979836,0.040567608825325965,-0.02620689655172414,-0.040567608825325965,0.053000439644296383,0.02,0.06,all,comparison,strong_only
1,2,9.757833003997803,10.006921768188477,1.3036914768597134,1.4591103326268486,65,515,3,13,True,0.046153846153846156,0.015819840413512573,0.1271384726333883,0.02524271844660194,0.014810276148928991,0.04270528725366139,0.020911127707244216,-0.01409020389022328,0.10256494316203624,0.02,0.06,all,comparison,strong_only
1,3,9.757833003997803,10.006921768188477,1.4591103326268486,1.7085361622827162,81,323,10,5,True,0.12345679012345678,0.06846115911871758,0.2125507323797679,0.015479876160990712,0.006629731388861717,0.03571942122671137,0.10797691396246607,0.049375219327611276,0.19750934165913103,0.02,0.06,all,comparison,strong_only
1,4,9.757833003997803,10.006921768188477,1.7085361622827162,3.245336315750976,47,172,12,7,True,0.2553191489361702,0.152531540350547,0.3950817553041745,0.040697674418604654,0.01985149669558029,0.08161182680247542,0.21462147451756552,0.10399028387025361,0.35593017652999515,0.02,0.06,all,comparison,strong_only
2,0,10.006921768188477,10.239534378051758,0.3864016248867915,1.183200033387799,19,840,0,32,False,,,,,,,,,,0.02,0.06,all,comparison,strong_only
2,1,10.006921768188477,10.239534378051758,1.183200033387799,1.3036914768597134,50,675,1,18,True,0.02,0.003539259271646236,0.10495443589637815,0.02666666666666667,0.016933380134897372,0.041756993446451104,-0.006666666666666668,-0.028997675323840302,0.07884352597246463,0.02,0.06,all,comparison,strong_only
2,2,10.006921768188477,10.239534378051758,1.3036914768597134,1.4591103326268486,77,541,1,18,True,0.012987012987012988,0.0022962172971240508,0.06996198914680525,0.033271719038817,0.021147852569080798,0.05197701371207685,-0.020284706051804016,-0.041829569970994386,0.037965925245932924,0.02,0.06,all,comparison,strong_only
2,3,10.006921768188477,10.239534378051758,1.4591103326268486,1.7085361622827162,116,365,15,23,True,0.12931034482758622,0.07995391352718764,0.20243132405013073,0.06301369863013699,0.04235294323823634,0.0927768195060426,0.06629664619744922,0.008660714045841476,0.14228048932102214,0.02,0.06,all,comparison,strong_only
2,4,10.006921768188477,10.239534378051758,1.7085361622827162,3.245336315750976,113,271,32,38,True,0.2831858407079646,0.20831003095179917,0.3723182794564455,0.14022140221402213,0.10389370807157823,0.1866063466264376,0.14296443849394247,0.05488521305011633,0.23921563588368228,0.02,0.06,all,comparison,strong_only
3,0,10.239534378051758,10.462076187133789,0.3864016248867915,1.183200033387799,29,548,2,28,False,,,,,,,,,,0.02,0.06,all,comparison,strong_only
3,1,10.239534378051758,10.462076187133789,1.183200033387799,1.3036914768597134,83,609,6,13,True,0.07228915662650602,0.03355029552299279,0.14886786091773183,0.021346469622331693,0.012516701905832163,0.03617690129477176,0.05094268700417433,0.009462076314501446,0.12802876064170204,0.02,0.06,all,comparison,strong_only
3,2,10.239534378051758,10.462076187133789,1.3036914768597134,1.4591103326268486,103,466,8,14,True,0.07766990291262135,0.039880356912350534,0.14582900197980858,0.030042918454935622,0.017978793265959216,0.04979185196534165,0.047626984457685734,0.004988150494911581,0.1168455217307742,0.02,0.06,all,comparison,strong_only
