mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
0,0,9.500033378601074,9.758503913879395,0.3864016248867915,1.1832424306609615,714,686,10,19,True,0.014005602240896359,0.007625050407225047,0.02558765767439241,0.027696793002915453,0.017801762993839454,0.0428519687958147,-0.013691190762019094,-0.030134754701014975,0.0015421813841962652,0.02,0.06,all,conventional,all
0,1,9.500033378601074,9.758503913879395,1.1832424306609615,1.3037786136088494,443,587,3,8,True,0.006772009029345372,0.002305712531120602,0.019718785479130606,0.013628620102214651,0.006921657877483571,0.026660039081117172,-0.006856611072869279,-0.02063215770499084,0.007724279254016909,0.02,0.06,all,conventional,all
0,2,9.500033378601074,9.758503913879395,1.3037786136088494,1.4594574633678798,372,472,6,7,True,0.016129032258064516,0.007412504646732909,0.03473680711467057,0.014830508474576272,0.007202063732777717,0.030292480910120073,0.0012985237834882441,-0.016451136641337426,0.021409278475762093,0.02,0.06,all,conventional,all
0,3,9.500033378601074,9.758503913879395,1.4594574633678798,1.7088035530257262,266,330,9,3,True,0.03383458646616541,0.017900744370341493,0.06304107574932911,0.00909090909090909,0.003096451914505057,0.026382986785108226,0.02474367737525632,0.0012297820170458981,0.054558984401803914,0.02,0.06,all,conventional,all
0,4,9.500033378601074,9.758503913879395,1.7088035530257262,3.245336315750976,87,137,8,1,True,0.09195402298850575,0.04733289225508674,0.17108564789471262,0.0072992700729927005,0.0012896645694117012,0.040185756585739155,0.08465475291551304,0.029224018633150113,0.16401424773878726,0.02,0.06,all,conventional,all
1,0,9.758503913879395,10.007819175720215,0.3864016248867915,1.1832424306609615,453,802,4,23,True,0.008830022075055188,0.00343902849549238,0.022481252144671202,0.028678304239401497,0.019184684066756774,0.0426655201826429,-0.01984828216434631,-0.03483844632681477,-0.0032204468754088063,0.02,0.06,all,conventional,all
1,1,9.758503913879395,10.007819175720215,1.1832424306609615,1.3037786136088494,343,728,5,19,True,0.014577259475218658,0.006242183353620366,0.03366498018950644,0.0260989010989011,0.016770910807490165,0.04040193491802858,-0.011521641623682442,-0.02807610538376668,0.009723416270879946,0.02,0.06,all,conventional,all
1,2,9.758503913879395,10.007819175720215,1.3037786136088494,1.4594574633678798,333,522,12,13,True,0.036036036036036036,0.020732223238475504,0.06192226625984532,0.02490421455938697,0.014610900776882721,0.04213901560974003,0.011131821476649064,-0.011916932359253396,0.03898948153317838,0.02,0.06,all,conventional,all
1,3,9.758503913879395,10.007819175720215,1.4594574633678798,1.7088035530257262,279,322,17,5,True,0.06093189964157706,0.038387407687598185,0.09540294602671892,0.015527950310559006,0.006650375940404464,0.03582874525795379,0.04540394933101805,0.015066243535108107,0.08099979692008702,0.02,0.06,all,conventional,all
1,4,9.758503913879395,10.007819175720215,1.7088035530257262,3.245336315750976,139,172,20,7,True,0.14388489208633093,0.09511407772975751,0.21180983065546405,0.040697674418604654,0.01985149669558029,0.08161182680247542,0.10318721766772627,0.03952749572131854,0.17423903260077656,0.02,0.06,all,conventional,all
