mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
0,0,9.500033378601074,9.758503913879395,0.3864016248867915,1.1832424306609615,129,686,1,19,True,0.007751937984496124,0.0013697205909803702,0.042603440141760235,0.027696793002915453,0.017801762993839454,0.0428519687958147,-0.01994485501841933,-0.03638906531176496,0.016284122630671177,0.02,0.06,all,conventional,strong_only
0,1,9.500033378601074,9.758503913879395,1.1832424306609615,1.3037786136088494,68,587,0,8,True,0.0,0.0,0.053471336520070537,0.013628620102214651,0.006921657877483571,0.026660039081117172,-0.013628620102214651,-0.026660039081117172,0.04026170529601057,0.02,0.06,all,conventional,strong_only
0,2,9.500033378601074,9.758503913879395,1.3037786136088494,1.4594574633678798,61,472,2,7,True,0.03278688524590164,0.009037890398362391,0.11189490419495614,0.014830508474576272,0.007202063732777717,0.030292480910120073,0.017956376771325368,-0.01038241903700005,0.09743135290358124,0.02,0.06,all,conventional,strong_only
0,3,9.500033378601074,9.758503913879395,1.4594574633678798,1.7088035530257262,50,330,4,3,True,0.08,0.03154951408859298,0.18838246918342838,0.00909090909090909,0.003096451914505057,0.026382986785108226,0.07090909090909091,0.019465281407522406,0.17945720532448067,0.02,0.06,all,conventional,strong_only
0,4,9.500033378601074,9.758503913879395,1.7088035530257262,3.245336315750976,19,137,1,1,False,,,,,,,,,,0.02,0.06,all,conventional,strong_only
1,0,9.758503913879395,10.007819175720215,0.3864016248867915,1.1832424306609615,43,802,0,23,True,0.0,0.0,0.08200980322579117,0.028678304239401497,0.019184684066756774,0.0426655201826429,-0.028678304239401497,-0.0426655201826429,0.05387917058338747,0.02,0.06,all,conventional,strong_only
1,1,9.758503913879395,10.007819175720215,1.1832424306609615,1.3037786136088494,45,728,0,19,True,0.0,0.0,0.07865159873288838,0.0260989010989011,0.016770910807490165,0.04040193491802858,-0.0260989010989011,-0.04040193491802858,0.05310391063222335,0.02,0.06,all,conventional,strong_only
1,2,9.758503913879395,10.007819175720215,1.3037786136088494,1.4594574633678798,67,522,3,13,True,0.04477611940298507,0.015343975122038639,0.12357833089093759,0.02490421455938697,0.014610900776882721,0.04213901560974003,0.0198719048435981,-0.014235124992195262,0.09934354031196561,0.02,0.06,all,conventional,strong_only
1,3,9.758503913879395,10.007819175720215,1.4594574633678798,1.7088035530257262,79,322,10,5,True,0.12658227848101267,0.07023263469675516,0.21756358666503517,0.015527950310559006,0.006650375940404464,0.03582874525795379,0.11105432817045366,0.05115938155465909,0.20246772853152603,0.02,0.06,all,conventional,strong_only
1,4,9.758503913879395,10.007819175720215,1.7088035530257262,3.245336315750976,51,172,13,7,True,0.2549019607843137,0.15545768156582296,0.3886828183844375,0.040697674418604654,0.01985149669558029,0.08161182680247542,0.21420428636570904,0.10667227934186638,0.34959956318836827,0.02,0.06,all,conventional,strong_only
2,0,10.007819175720215,10.24139404296875,0.3864016248867915,1.1832424306609615,19,846,0,32,False,,,,,,,,,,0.02,0.06,all,conventional,strong_only
2,1,10.007819175720215,10.24139404296875,1.1832424306609615,1.3037786136088494,50,681,1,18,True,0.02,0.003539259271646236,0.10495443589637815,0.02643171806167401,0.016783616574986098,0.04139256173247449,-0.006431718061674009,-0.02867543242479725,0.07906882018674435,0.02,0.06,all,conventional,strong_only
2,2,10.007819175720215,10.24139404296875,1.3037786136088494,1.4594574633678798,75,545,1,18,True,0.013333333333333334,0.002357551139048661,0.07173365554421572,0.03302752293577982,0.020991893863391016,0.05160003260350201,-0.019694189602446482,-0.04126745801810411,0.03993343823484898,0.02,0.06,all,conventional,strong_only
2,3,10.007819175720215,10.24139404296875,1.4594574633678798,1.7088035530257262,116,367,15,25,True,0.12931034482758622,0.07995391352718764,0.20243132405013073,0.0681198910081744,0.04656318669699851,0.09862408279523767,0.06119045381941182,0.0031683629634895183,0.13742279015526904,0.02,0.06,all,conventional,strong_only
2,4,10.007819175720215,10.24139404296875,1.7088035530257262,3.245336315750976,113,271,34,38,True,0.3008849557522124,0.22401224708191042,0.39085048696647756,0.14022140221402213,0.10389370807157823,0.1866063466264376,0.16066355353819028,0.07088061302913813,0.2576867372025695,0.02,0.06,all,conventional,strong_only
3,0,10.24139404296875,10.463595708211264,0.3864016248867915,1.1832424306609615,29,549,2,28,False,,,,,,,,,,0.02,0.06,all,conventional,strong_only
3,1,10.24139404296875,10.463595708211264,1.1832424306609615,1.3037786136088494,84,612,6,13,True,0.07142857142857142,0.033145809935835324,0.14719567156244456,0.021241830065359478,0.012455143069497458,0.03600125490968218,0.05018674136321195,0.009157356171072786,0.12646163455264622,0.02,0.06,all,conventional,strong_only
3,2,10.24139404296875,10.463595708211264,1.3037786136088494,1.4594574633678798,107,461,10,14,True,0.09345794392523364,0.0515582662185042,0.16353687123599236,0.03036876355748373,0.018174701923095535,0.05032490846337068,0.06308918036774991,0.01667979864990586,0.13422110844628482,0.02,0.06,all,conventional,strong_only
3,3,10.24139404296875,10.463595708211264,1.4594574633678798,1.7088035530257262,174,388,34,38,True,0.19540229885057472,0.1433360355351126,0.26062746823442834,0.0979381443298969,0.07218723327727444,0.13157236648786788,0.09746415452067782,0.03547902182091841,0.16758855926818686,0.02,0.06,all,conventional,strong_only
3,4,10.24139404296875,10.463595708211264,1.7088035530257262,3.245336315750976,235,442,97,133,True,0.4127659574468085,0.35171498480012914,0.47662302568413933,0.3009049773755656,0.26001224560379027,0.34522859389655186,0.1118609800712429,0.03641693297271406,0.18768934333740794,0.02,0.06,all,conventional,strong_only
4,0,10.463595708211264,10.716776847839355,0.3864016248867915,1.1832424306609615,21,276,1,12,False,,,,,,,,,,0.02,0.06,all,conventional,strong_only
4,1,10.463595708211264,10.716776847839355,1.1832424306609615,1.3037786136088494,86,367,9,22,True,0.10465116279069768,0.05604089714536309,0.1870702355922005,0.05994550408719346,0.0399170043719714,0.0890908443535563,0.04470565870350422,-0.01197245687342783,0.1295233712540209,0.02,0.06,all,conventional,strong_only
4,2,10.463595708211264,10.716776847839355,1.3037786136088494,1.4594574633678798,168,388,31,37,True,0.18452380952380953,0.13315058560730858,0.2500017646610606,0.09536082474226804,0.06997701641516846,0.1286784782202632,0.0891629847815415,0.0279316678852448,0.15938905069828493,0.02,0.06,all,conventional,strong_only
4,3,10.463595708211264,10.716776847839355,1.4594574633678798,1.7088035530257262,267,430,92,98,True,0.3445692883895131,0.29013406735745123,0.40341358830279733,0.22790697674418606,0.19077013174351776,0.2698623291649456,0.11666231164532706,0.04793498894496598,0.18624533320150988,0.02,0.06,all,conventional,strong_only
4,4,10.463595708211264,10.716776847839355,1.7088035530257262,3.245336315750976,402,629,224,303,True,0.5572139303482587,0.5083436768396825,0.6050010763889997,0.48171701112877585,0.44289821981906036,0.5207577643466095,0.07549691921948287,0.012947082370708504,0.13706403613644064,0.02,0.06,all,conventional,strong_only
5,0,10.716776847839355,12.047352790832521,0.3864016248867915,1.1832424306609615,27,94,4,23,False,,,,,,,,,,0.02,0.06,all,conventional,strong_only
5,1,10.716776847839355,12.047352790832521,1.1832424306609615,1.3037786136088494,91,184,29,55,True,0.31868131868131866,0.23196000154381546,0.4200909009798445,0.29891304347826086,0.23743110790849697,0.3686196517875432,0.019768275203057795,-0.09149536705283419,0.1383597242344533,0.02,0.06,all,conventional,strong_only
5,2,10.716776847839355,12.047352790832521,1.3037786136088494,1.4594574633678798,238,359,109,152,True,0.4579831932773109,0.39585367001645827,0.5214475235112055,0.4233983286908078,0.37336325064133336,0.47505539429863364,0.03458486458650312,-0.04621445526108009,0.11540089175595648,0.02,0.06,all,conventional,strong_only
5,3,10.716776847839355,12.047352790832521,1.4594574633678798,1.7088035530257262,399,490,246,279,True,0.6165413533834586,0.5679358549784886,0.6629241966960698,0.5693877551020409,0.5251728235594548,0.612523189574772,0.04715359828141774,-0.017832247734055673,0.11123423751884899,0.02,0.06,all,conventional,strong_only
5,4,10.716776847839355,12.047352790832521,1.7088035530257262,3.245336315750976,395,852,268,556,True,0.6784810126582278,0.6308923278591626,0.7226316022179983,0.6525821596244131,0.6199896176744482,0.683804966381186,0.025898853033814673,-0.031018161844651705,0.08077642904839043,0.02,0.06,all,conventional,strong_only
0,0,9.500271797180176,10.017386754353842,0.3829151653165051,1.259665403031436,109,1301,0,9,True,0.0,0.0,0.03404297375132513,0.006917755572636433,0.0036436893869956207,0.013095094220044477,-0.006917755572636433,-0.013095094220044477,0.027282296638162434,0.06,0.1,all,conventional,strong_only
0,1,9.500271797180176,10.017386754353842,1.259665403031436,1.4014136377643032,50,1024,0,11,True,0.0,0.0,0.07134759913335872,0.0107421875,0.006008712294577324,0.019132770955518102,-0.0107421875,-0.019132770955518102,0.06076225774373853,0.06,0.1,all,conventional,strong_only
