mass_bin,bulge_bin,mass_lo,mass_hi,bulge_lo,bulge_hi,n_barred,n_unbarred,k_barred,k_unbarred,valid,q_barred,q_barred_lo,q_barred_hi,q_unbarred,q_unbarred_lo,q_unbarred_hi,delta_q,delta_q_lo,delta_q_hi,z_lo,z_hi,sample,scheme,barmode
0,0,9.500033378601074,9.758503913879395,0.3864016248867915,1.1832424306609615,585,686,9,19,True,0.015384615384615385,0.008114610022578227,0.028977647143615955,0.027696793002915453,0.017801762993839454,0.0428519687958147,-0.012312177618300068,-0.029120875702260303,0.004500975901540066,0.02,0.06,all,conventional,weak_only
0,1,9.500033378601074,9.758503913879395,1.1832424306609615,1.3037786136088494,375,587,3,8,True,0.008,0.0027243775654703616,0.023253399131224532,0.013628620102214651,0.006921657877483571,0.026660039081117172,-0.005628620102214651,-0.019687427757041333,0.011034198607127746,0.02,0.06,all,conventional,weak_only
0,2,9.500033378601074,9.758503913879395,1.3037786136088494,1.4594574633678798,311,472,4,7,True,0.012861736334405145,0.005012738782076495,0.03259812372964238,0.014830508474576272,0.007202063732777717,0.030292480910120073,-0.001968772140171127,-0.019308880391678024,0.019190579376204636,0.02,0.06,all,conventional,weak_only
0,3,9.500033378601074,9.758503913879395,1.4594574633678798,1.7088035530257262,216,330,5,3,True,0.023148148148148147,0.009927097915365963,0.05303399638843148,0.00909090909090909,0.003096451914505057,0.026382986785108226,0.014057239057239056,-0.007709986770595992,0.04453833880578796,0.02,0.06,all,conventional,weak_only
0,4,9.500033378601074,9.758503913879395,1.7088035530257262,3.245336315750976,68,137,7,1,True,0.10294117647058823,0.05076577178992908,0.19757911309365633,0.0072992700729927005,0.0012896645694117012,0.040185756585739155,0.09564190639759552,0.033967001867928004,0.1904704590944522,0.02,0.06,all,conventional,weak_only
1,0,9.758503913879395,10.007819175720215,0.3864016248867915,1.1832424306609615,410,802,4,23,True,0.00975609756097561,0.0038003124825935035,0.0248132025925713,0.028678304239401497,0.019184684066756774,0.0426655201826429,-0.01892220667842589,-0.03412462706936185,-0.0011220596027708384,0.02,0.06,all,conventional,weak_only
1,1,9.758503913879395,10.007819175720215,1.1832424306609615,1.3037786136088494,298,728,5,19,True,0.016778523489932886,0.0071875325284972355,0.03866918601100765,0.0260989010989011,0.016770910807490165,0.04040193491802858,-0.009320377608968214,-0.02654140789328758,0.014474842677640688,0.02,0.06,all,conventional,weak_only
1,2,9.758503913879395,10.007819175720215,1.3037786136088494,1.4594574633678798,266,522,9,13,True,0.03383458646616541,0.017900744370341493,0.06304107574932911,0.02490421455938697,0.014610900776882721,0.04213901560974003,0.00893037190677844,-0.01454143439737935,0.039897634053643286,0.02,0.06,all,conventional,weak_only
1,3,9.758503913879395,10.007819175720215,1.4594574633678798,1.7088035530257262,200,322,7,5,True,0.035,0.017055542008567192,0.07047061152229073,0.015527950310559006,0.006650375940404464,0.03582874525795379,0.019472049689440996,-0.0076227071484135656,0.05603672674890493,0.02,0.06,all,conventional,weak_only
1,4,9.758503913879395,10.007819175720215,1.7088035530257262,3.245336315750976,88,172,7,7,True,0.07954545454545454,0.03906485712225405,0.15519881257322346,0.040697674418604654,0.01985149669558029,0.08161182680247542,0.03884778012684989,-0.01870781589152025,0.11732066529451596,0.02,0.06,all,conventional,weak_only
2,0,10.007819175720215,10.24139404296875,0.3864016248867915,1.1832424306609615,191,846,12,32,True,0.06282722513089005,0.03630163469804389,0.10659125364927471,0.037825059101654845,0.026919020554805634,0.052909349921301974,0.025002166029235204,-0.005512466155059435,0.07010462570654491,0.02,0.06,all,conventional,weak_only
2,1,10.007819175720215,10.24139404296875,1.1832424306609615,1.3037786136088494,228,681,3,18,True,0.013157894736842105,0.004484778985363161,0.03796431045167966,0.02643171806167401,0.016783616574986098,0.04139256173247449,-0.013273823324831905,-0.030566879161805397,0.013342790338719834,0.02,0.06,all,conventional,weak_only
2,2,10.007819175720215,10.24139404296875,1.3037786136088494,1.4594574633678798,240,545,7,18,True,0.029166666666666667,0.014198730672500263,0.05896954393913429,0.03302752293577982,0.020991893863391016,0.05160003260350201,-0.0038608562691131512,-0.027714099723266224,0.028280516770722866,0.02,0.06,all,conventional,weak_only
2,3,10.007819175720215,10.24139404296875,1.4594574633678798,1.7088035530257262,201,367,21,25,True,0.1044776119402985,0.06935538202679012,0.15443456305859893,0.0681198910081744,0.04656318669699851,0.09862408279523767,0.03635772093212411,-0.010161917401372011,0.09076717292160594,0.02,0.06,all,conventional,weak_only
2,4,10.007819175720215,10.24139404296875,1.7088035530257262,3.245336315750976,150,271,27,38,True,0.18,0.1267576780776089,0.2492232783179601,0.14022140221402213,0.10389370807157823,0.1866063466264376,0.039778597785977865,-0.030835196276021104,0.11795508800389899,0.02,0.06,all,conventional,weak_only
3,0,10.24139404296875,10.463595708211264,0.3864016248867915,1.1832424306609615,116,549,10,28,True,0.08620689655172414,0.04749935479961496,0.1514423057518102,0.051001821493624776,0.03551932365717397,0.0727241118990997,0.03520507505809937,-0.009181090454941566,0.10225256832040094,0.02,0.06,all,conventional,weak_only
3,1,10.24139404296875,10.463595708211264,1.1832424306609615,1.3037786136088494,173,612,4,13,True,0.023121387283236993,0.0090273390553905,0.0579335359546975,0.021241830065359478,0.012455143069497458,0.03600125490968218,0.001879557217877515,-0.01852835343422191,0.03778347850075581,0.02,0.06,all,conventional,weak_only
3,2,10.24139404296875,10.463595708211264,1.3037786136088494,1.4594574633678798,224,461,10,14,True,0.044642857142857144,0.02442710367371768,0.08021346062084643,0.03036876355748373,0.018174701923095535,0.05032490846337068,0.014274093585373415,-0.014132321320942762,0.051876792570042074,0.02,0.06,all,conventional,weak_only
3,3,10.24139404296875,10.463595708211264,1.4594574633678798,1.7088035530257262,264,388,38,38,True,0.14393939393939395,0.10669818641725223,0.19139404759400222,0.0979381443298969,0.07218723327727444,0.13157236648786788,0.046001249609497044,-0.004180105871188909,0.09999248569016944,0.02,0.06,all,conventional,weak_only
3,4,10.24139404296875,10.463595708211264,1.7088035530257262,3.245336315750976,235,442,71,133,True,0.3021276595744681,0.24698930448829173,0.3636310607565125,0.3009049773755656,0.26001224560379027,0.34522859389655186,0.0012226821989024805,-0.06952207861848042,0.07507986782574498,0.02,0.06,all,conventional,weak_only
4,0,10.463595708211264,10.716776847839355,0.3864016248867915,1.1832424306609615,65,276,6,12,True,0.09230769230769231,0.042995089611340964,0.1871200051596039,0.043478260869565216,0.025043619560495875,0.07444649508521602,0.0488294314381271,-0.00940083831157957,0.1454172705718545,0.02,0.06,all,conventional,weak_only
4,1,10.463595708211264,10.716776847839355,1.1832424306609615,1.3037786136088494,162,367,15,22,True,0.09259259259259259,0.05691602611215609,0.14714307383391417,0.05994550408719346,0.0399170043719714,0.0890908443535563,0.03264708850539913,-0.013420994318559108,0.09075815289508682,0.02,0.06,all,conventional,weak_only
4,2,10.463595708211264,10.716776847839355,1.3037786136088494,1.4594574633678798,206,388,28,37,True,0.13592233009708737,0.09574212401643316,0.18943249856292854,0.09536082474226804,0.06997701641516846,0.1286784782202632,0.04056150535481934,-0.011635381467706832,0.09978714046690262,0.02,0.06,all,conventional,weak_only
4,3,10.463595708211264,10.716776847839355,1.4594574633678798,1.7088035530257262,282,430,63,98,True,0.22340425531914893,0.17869176165311132,0.27555115802825836,0.22790697674418606,0.19077013174351776,0.2698623291649456,-0.004502721425037132,-0.06581714620897838,0.05951637509121328,0.02,0.06,all,conventional,weak_only
4,4,10.463595708211264,10.716776847839355,1.7088035530257262,3.245336315750976,344,629,161,303,True,0.4680232558139535,0.4159382540555241,0.5208145410983721,0.48171701112877585,0.44289821981906036,0.5207577643466095,-0.013693755314822365,-0.07878621125244527,0.05183347841839818,0.02,0.06,all,conventional,weak_only
5,0,10.716776847839355,12.047352790832521,0.3864016248867915,1.1832424306609615,24,94,6,23,False,,,,,,,,,,0.02,0.06,all,conventional,weak_only
