controls,pcc,lo,hi,n,tier,scheme,sample,subset
none,-0.159492140874371,-0.16262133053993136,-0.15652834378182998,95227,main,comparison,all,strong+weak
mass,-0.10121704098729357,-0.10432103363276958,-0.09802629951903834,95227,main,comparison,all,strong+weak
mass+bulge,-0.092514974954767,-0.09568018751426965,-0.08928897182056476,95227,main,comparison,all,strong+weak
mass+bulge+z,-0.057144850559320115,-0.06029716536034282,-0.05391020684589184,95227,main,comparison,all,strong+weak
none,-0.143207374989285,-0.1473024726819811,-0.139361143891544,57470,sigma,comparison,all,strong+weak
mass,-0.11904262576691974,-0.12335459178554539,-0.11487003141382593,57470,sigma,comparison,all,strong+weak
mass+bulge,-0.10345863453857534,-0.10774752070518409,-0.09929650913416428,57470,sigma,comparison,all,strong+weak
mass+bulge+z,-0.07751536773716555,-0.08178196911679998,-0.07342162525174385,57470,sigma,comparison,all,strong+weak
mass+bulge+sigma+z,-0.07736346653962284,-0.08163997867789595,-0.07327610267725404,57470,sigma,comparison,all,strong+weak
mass+bulge+sigma,-0.10192325184926067,-0.1061369225418571,-0.09795889020982132,57470,sigma,comparison,all,strong+weak
none,-0.14103341678297754,-0.14523393018283867,-0.13720505389966944,65903,main,comparison,all,strong_only
mass,-0.07519395875016051,-0.07933764389458281,-0.07154365823456531,65903,main,comparison,all,strong_only
mass+bulge,-0.06771728349298617,-0.07185054131471341,-0.06418721040722583,65903,main,comparison,all,strong_only
mass+bulge+z,-0.015383619321572733,-0.01932130424114352,-0.01165985609289055,65903,main,comparison,all,strong_only
none,-0.11819099635693218,-0.12291277983016782,-0.11280391919432166,39331,sigma,comparison,all,strong_only
mass,-0.10128591297559379,-0.10614963992914957,-0.09580036499773352,39331,sigma,comparison,all,strong_only
mass+bulge,-0.08671559886828768,-0.09168585345536107,-0.08132368216992392,39331,sigma,comparison,all,strong_only
mass+bulge+z,-0.042559822554022256,-0.047688621560628405,-0.037086150810233955,39331,sigma,comparison,all,strong_only
mass+bulge+sigma+z,-0.04070107457866563,-0.04577168944486636,-0.03524514402785908,39331,sigma,comparison,all,strong_only
mass+bulge+sigma,-0.08139442877050003,-0.08632380053263619,-0.07585314518977167,39331,sigma,comparison,all,strong_only
none,0.006113801674501847,0.002366782786326329,0.009989613936496644,62967,main,comparison,agn_clean,strong+weak
mass,0.01089157881511623,0.007020040683466363,0.014730241842758991,62967,main,comparison,agn_clean,strong+weak
mass+bulge,-0.003863627224358333,-0.007616156645670171,-1.3485246976766645e-05,62967,main,comparison,agn_clean,strong+weak
mass+bulge+z,0.01828656410523407,0.014175929119469464,0.02220766325108908,62967,main,comparison,agn_clean,strong+weak
none,-0.0009334762643374411,-0.007319243019593123,0.004924670351924007,28755,sigma,comparison,agn_clean,strong+weak
mass,0.004018302345328533,-0.0022534094010015033,0.009877357828131221,28755,sigma,comparison,agn_clean,strong+weak
mass+bulge,-0.01106100943795601,-0.01741265470749456,-0.00516751939407418,28755,sigma,comparison,agn_clean,strong+weak
mass+bulge+z,0.00837830995429662,0.002189251994705479,0.014109669209715802,28755,sigma,comparison,agn_clean,strong+weak
mass+bulge+sigma+z,0.006024672490082246,-8.973951351459691e-05,0.011871556308857526,28755,sigma,comparison,agn_clean,strong+weak
mass+bulge+sigma,-0.013461333908158265,-0.019858478626765003,-0.0075643533021488175,28755,sigma,comparison,agn_clean,strong+weak
none,0.0247938729091093,0.02015312808603416,0.02969363024396714,44802,main,comparison,agn_clean,strong_only
mass,0.03779418833813211,0.03335703140635594,0.042852456118121746,44802,main,comparison,agn_clean,strong_only
mass+bulge,0.021281531198678944,0.016689339385289454,0.026089326526062946,44802,main,comparison,agn_clean,strong_only
mass+bulge+z,0.056507609754887195,0.051950599925786344,0.06126718335988527,44802,main,comparison,agn_clean,strong_only
none,0.0278811253057656,0.02070767845435097,0.034938007632416335,20451,sigma,comparison,agn_clean,strong_only
mass,0.034734167297994806,0.027660562161589426,0.041847592939347845,20451,sigma,comparison,agn_clean,strong_only
mass+bulge,0.019869403191459658,0.012703861198816647,0.0272626824157156,20451,sigma,comparison,agn_clean,strong_only
mass+bulge+z,0.05257776192716498,0.045138969245197634,0.060078805058212684,20451,sigma,comparison,agn_clean,strong_only
mass+bulge+sigma+z,0.051050333728756246,0.04357379371177916,0.05874310114411317,20451,sigma,comparison,agn_clean,strong_only
mass+bulge+sigma,0.01867997098677059,0.011479556730775298,0.02621540744568209,20451,sigma,comparison,agn_clean,strong_only
none,-0.1601986045958462,-0.16392522613805272,-0.1567875549898055,95447,main,conventional,all,strong+weak
mass,-0.10196653550275189,-0.10544141448269817,-0.09859627108008347,95447,main,conventional,all,strong+weak
mass+bulge,-0.09323546803994512,-0.09676605648751223,-0.08991950274805904,95447,main,conventional,all,strong+weak
mass+bulge+z,-0.0577746913671872,-0.06116237160107642,-0.05446952274801027,95447,main,conventional,all,strong+weak
none,-0.14382996566560755,-0.14803469399019406,-0.13983330743786535,57642,sigma,conventional,all,strong+weak
mass,-0.11988210658418214,-0.12404791921103783,-0.11589779571462357,57642,sigma,conventional,all,strong+weak
mass+bulge,-0.10419228900668392,-0.10843648675521267,-0.10025387571904378,57642,sigma,conventional,all,strong+weak
mass+bulge+z,-0.07829420609137444,-0.08243173536580627,-0.07414441036105127,57642,sigma,conventional,all,strong+weak
mass+bulge+sigma+z,-0.07817195871761835,-0.08241715851600713,-0.07420929874126062,57642,sigma,conventional,all,strong+weak
mass+bulge+sigma,-0.10268280255200161,-0.1068199947093643,-0.0989463705370625,57642,sigma,conventional,all,strong+weak
none,-0.14270529895512538,-0.14620970959700277,-0.13902146274726077,66069,main,conventional,all,strong_only
mass,-0.07669487636318795,-0.080484453064685,-0.07291819381226815,66069,main,conventional,all,strong_only
mass+bulge,-0.06915508239995886,-0.07295954471289595,-0.06535694593370121,66069,main,conventional,all,strong_only
mass+bulge+z,-0.016343803309087877,-0.020245241360806025,-0.012763915678119775,66069,main,conventional,all,strong_only
none,-0.11991148825973712,-0.12496918153075148,-0.11486957631135918,39465,sigma,conventional,all,strong_only
mass,-0.10308126198195994,-0.1080013652366505,-0.0980842745783734,39465,sigma,conventional,all,strong_only
mass+bulge,-0.08839097163545373,-0.09352108630130153,-0.08320779054491628,39465,sigma,conventional,all,strong_only
mass+bulge+z,-0.04385247630802985,-0.049079144485324126,-0.03894485656619236,39465,sigma,conventional,all,strong_only
mass+bulge+sigma+z,-0.04201395308518219,-0.04733205868101352,-0.03709250848443292,39465,sigma,conventional,all,strong_only
mass+bulge+sigma,-0.08302688444765512,-0.08816296343680831,-0.07805194750506572,39465,sigma,conventional,all,strong_only
none,0.005304527400925288,0.001794874623629324,0.009365641188957191,63059,main,conventional,agn_clean,strong+weak
mass,0.010087498705703744,0.006532283591879463,0.014086407307905046,63059,main,conventional,agn_clean,strong+weak
mass+bulge,-0.004715895596780305,-0.008449523689978033,-0.000769885306526247,63059,main,conventional,agn_clean,strong+weak
mass+bulge+z,0.017588443166165032,0.013710245254551624,0.021729983851735475,63059,main,conventional,agn_clean,strong+weak
none,-0.0017384711601495244,-0.0078039794082940955,0.004454181721256971,28801,sigma,conventional,agn_clean,strong+weak
mass,0.0032149729302702037,-0.0025279490092567657,0.009287505638384229,28801,sigma,conventional,agn_clean,strong+weak
mass+bulge,-0.011959914135309654,-0.017655871499370878,-0.00571417961952185,28801,sigma,conventional,agn_clean,strong+weak
mass+bulge+z,0.007628161227491312,0.0014621813093011868,0.014015411971389948,28801,sigma,conventional,agn_clean,strong+weak
mass+bulge+sigma+z,0.005290300666216202,-0.0007780958465624383,0.011577233889355297,28801,sigma,conventional,agn_clean,strong+weak
mass+bulge+sigma,-0.014328094897062816,-0.020124804418636334,-0.008134472815497782,28801,sigma,conventional,agn_clean,strong+weak
none,0.023536298078332497,0.018631289024946186,0.028479378054124833,44866,main,conventional,agn_clean,strong_only
mass,0.036612862949164576,0.03177659918120932,0.04135043825646065,44866,main,conventional,agn_clean,strong_only
mass+bulge,0.020061658594282168,0.015231179232862957,0.024815705977273613,44866,main,conventional,agn_clean,strong_only
mass+bulge+z,0.05560984526781844,0.050610017534261496,0.060342756683583784,44866,main,conventional,agn_clean,strong_only
none,0.026589943104982094,0.019329204507193293,0.033334184745315576,20484,sigma,conventional,agn_clean,strong_only
mass,0.033512377819199114,0.02627737592237023,0.04018317917889577,20484,sigma,conventional,agn_clean,strong_only
mass+bulge,0.018575524258205876,0.011064408648923859,0.02536196341795458,20484,sigma,conventional,agn_clean,strong_only
mass+bulge+z,0.05158294625011347,0.044190187555883054,0.05858003203700682,20484,sigma,conventional,agn_clean,strong_only
mass+bulge+sigma+z,0.05007870457680611,0.042810377774057114,0.057166578306842825,20484,sigma,conventional,agn_clean,strong_only
