panel,control,scheme,sample,n_strong,n_unbarred,med_strong,med_unbarred,delta,delta_lo,delta_hi,n_cells,z_lo,z_hi,stat
suppression,mass_only,comparison,all,3107,27714,-10.08010482788086,-10.14159631729126,0.06149148941040039,0.04445074081420899,0.07461326599121093,,,,
suppression,mass+bulge_cells,comparison,all,3107,27714,,,0.09291178385416667,0.072653626759847,0.1075285301208496,15.0,,,
suppression,mass_only_zslice:LZ_z<0.05,comparison,all,1345,7103,,,0.15701580047607422,0.1324523162841797,0.18708938598632813,,0.02,0.05,
suppression,mass_only_zslice:z0.02-0.06,comparison,all,1748,10219,,,0.14339637756347656,0.12110988616943359,0.16487823486328124,,0.02,0.06,
suppression,mass_only_zslice:z0.06-0.1,comparison,all,1152,12652,,,0.10400247573852539,0.06893997192382813,0.13328500747680663,,0.06,0.1,
suppression,mass_only_zslice:z0.1-0.15,comparison,all,207,4843,,,-0.17141056060791016,-0.22842384338378907,-0.11158348083496096,,0.1,0.15,
suppression,mass+bulge_cells_LZ_z<0.05,comparison,all,1345,7103,,,0.18893980979919434,0.1483390267690023,0.2273147614796956,6.0,0.02,0.05,
suppression,lz_band_mean_z<0.05,comparison,all,1345,7103,,,0.010402206804458913,-0.012111372159917123,0.03959308984730882,,0.02,0.05,mean
suppression,mass_split:9.5-10.0_z<0.05,comparison,all,467,3365,,,0.3017416000366211,0.2786951446533203,0.32835620880126953,,0.02,0.05,median
suppression,mass_split:9.5-10.0_z<0.05,comparison,all,467,3365,,,0.22536371361927188,0.198054367577704,0.25471344568721116,,0.02,0.05,mean
suppression,mass_split:10.0-10.5_z<0.05,comparison,all,878,3738,,,-0.051697731018066406,-0.116614990234375,-0.0003143501281738397,,0.02,0.05,median
suppression,mass_split:10.0-10.5_z<0.05,comparison,all,878,3738,,,-0.055567979827442215,-0.09041771171458535,-0.018723106312980776,,0.02,0.05,mean
suppression,decomp_nonquenched_z<0.05,comparison,all,1115,6671,,,0.3147621154785156,0.28780380249023435,0.32987117767333984,,0.02,0.05,median
suppression,decomp_Q_only_z<0.05,comparison,all,230,432,,,-0.24797677993774414,-0.2991619110107422,-0.2054751205444336,,0.02,0.05,median
suppression,qfrac_inband_z<0.05,comparison,all,1345,7103,0.17100371747211895,0.06081937209629734,0.11018434537582161,0.09014881802005774,0.13189907955076752,,0.02,0.05,fraction
