z_lo,z_hi,tag,n,n_strong,n_weak,f_strong,f_strong_lo,f_strong_hi,f_weak,f_weak_lo,f_weak_hi,f_total
0.02,0.05,quoted-low,6076,878,1460,0.14450296247531272,0.14005080700211767,0.14907211549253432,0.24028966425279788,0.23485139650468675,0.24581340520668396,0.3847926267281106
0.11,0.15,quoted-high,4381,113,1231,0.025793197900022827,0.023504321226249604,0.028298508531851722,0.28098607623830174,0.2742457930809415,0.2878263201093825,0.30677927413832456
0.02,0.06,Z_SLICES[0],8914,1149,2207,0.12889836212699124,0.12539081460257134,0.1324891629633288,0.24758806371999104,0.24304507033621137,0.252187683449543,0.3764864258469823
0.06,0.1,Z_SLICES[1],13844,898,3952,0.06486564576711933,0.06280370063505333,0.06699044887740604,0.28546662814215545,0.2816437609893223,0.2893204860312628,0.3503322739092748
0.1,0.15,Z_SLICES[2],6630,200,1835,0.030165912518853696,0.028135097361147277,0.03233843604256257,0.27677224736048267,0.27131154735141616,0.282300275902995,0.30693815987933637
0.02,0.04,fine,3553,556,836,0.1564874753729243,0.15048902177493992,0.1626792393392976,0.23529411764705882,0.22825289546704383,0.2424843020568729,0.3917815930199831
0.04,0.06,fine,5361,593,1371,0.110613691475471,0.10640231895011604,0.11497030320579596,0.2557358701734751,0.24982331291137536,0.2617395367715788,0.3663495616489461
0.06,0.08,fine,7654,554,2183,0.07238045466422785,0.06947421253489876,0.07539841973159371,0.2852103475307029,0.28007774220953785,0.2903990703312851,0.3575908021949308
0.08,0.1,fine,6190,344,1769,0.0555735056542811,0.05273276743220077,0.05855781567230576,0.28578352180936994,0.2800761519028278,0.29156009426095825,0.34135702746365104
0.1,0.12,fine,4195,147,1186,0.03504171632896305,0.032311600819231075,0.03799345161165548,0.2827175208581645,0.2758172077653752,0.28972140043290884,0.3177592371871275
0.12,0.15,fine,2435,53,649,0.021765913757700206,0.018999267631976922,0.024925198706282514,0.26652977412731005,0.2576668058560474,0.27558442567104613,0.28829568788501025
